u,v,forcedness_ln_mean,forcedness_ln_median,n_forcedness,n_path1,n_no_alt,no_alt_ratio
9369825760,9369825759,0.002245155138402,0.002245155138402,1,1,0,0.0
9369825759,9352983537,0.0034260706608067494,0.0018381817815587413,25,25,0,0.0
9352983537,9352983540,0.004036775854440683,0.0021230435530957444,26,26,0,0.0
9352983540,4712721504,0.0024598393984188176,0.0015644972456578484,22,22,0,0.0
4712721504,2093023432,0.0025007579306136644,0.0018381817815587413,23,23,0,0.0
2093023432,2925528373,0.0026771314464551967,0.0019476200645045369,25,25,0,0.0
2925528373,13072317577,0.007044763230562773,0.0015637307974791916,31,31,0,0.0
13072317577,2093023420,0.007193008896017988,0.0015637307974791916,31,31,0,0.0
2093023420,9369858465,0.002688266812620941,0.0018381817815587413,23,23,0,0.0
9369858465,2093021898,0.002146079569873817,0.001892900923031639,18,18,0,0.0
2093021898,13012904669,0.0022918281804338095,0.0019476200645045369,17,17,0,0.0
13012904669,2093021863,0.0022918281804338095,0.0019476200645045369,17,17,0,0.0
2093021863,11290791054,0.0024114156788948736,0.002096387601453268,14,14,0,0.0
11290791054,11368342964,0.004506478481293414,0.0019476200645045369,19,19,0,0.0
11368342964,13072303661,0.00247387105094787,0.002096387601453268,14,14,0,0.0
13072303661,5172386811,0.002343407441404167,0.0006230276573646039,30,30,0,0.0
5172386811,5172386814,0.0013305632317361458,0.000525503616787602,23,23,0,0.0
5172386814,4690629659,0.0012678661772225072,0.0005235968780911082,22,22,0,0.0
4690629659,4690629629,0.0018809135217440045,0.0015644972456578484,12,12,0,0.0
4690629629,11368370600,0.0018431071692303685,0.0015637307974791916,13,13,0,0.0
11368370600,11368370597,0.001434951686383568,0.0015637307974791916,11,11,0,0.0
11368370597,5172386831,0.001464019622412816,0.0015644972456578484,12,12,0,0.0
5172386831,5172386829,0.001501052501419295,0.0005594434478189319,109,109,0,0.0
5172386829,358924991,0.0014210710888638031,0.0005099924526524287,105,105,0,0.0
358924991,6070570530,0.0015192994868865792,0.0005099924526524287,77,77,0,0.0
6070570530,6070570528,0.001627561804549646,0.0005108647562177,78,78,0,0.0
6070570528,358928056,0.0016828133377072957,0.0005108647562177,74,74,0,0.0
358928056,6168025722,0.0014463986197256898,0.0005087830254126949,72,72,0,0.0
6168025722,6550885311,0.0016372766191510705,0.0005700285937330096,61,61,0,0.0
6550885311,6168004556,0.0038760374375854216,0.0005861549795691826,62,62,0,0.0
6168004556,6168025735,0.003903088943675035,0.0005700285937330096,61,61,0,0.0
6168025735,9179722209,0.001351180220452723,0.0006033868865023843,36,36,0,0.0
9179722209,6168025737,0.008345191720150164,0.0006022813654053556,35,35,0,0.0
6168025737,6168025738,0.008238559399087004,0.0005872605006662112,36,36,0,0.0
6168025738,7488007907,0.008238559399087004,0.0005872605006662112,36,36,0,0.0
7488007907,7488007906,0.00801160384453144,0.0005872605006662112,38,38,0,0.0
7488007906,6168025739,0.008898062654915868,0.000604492407599413,35,35,0,0.0
6168025739,9343143023,0.008185342147120061,0.0005549538062558558,38,38,0,0.0
9343143023,6168025742,0.00230192111364747,0.0006095731710873905,31,31,0,0.0
6168025742,5833798060,0.00230192111364747,0.0006095731710873905,31,31,0,0.0
3966737269,3966737275,0.001191931483173771,9.792638797472077e-05,4,4,0,0.0
3966737275,3966737300,0.001191931483173771,9.792638797472077e-05,4,4,0,0.0
3966737300,4646520384,0.0015349110219794076,8.416057465671258e-05,10,10,0,0.0
4646520384,4646484093,0.0015349110219794076,8.416057465671258e-05,10,10,0,0.0
4646484093,4646533401,0.0013645541036767293,8.416057465671258e-05,10,10,0,0.0
4646533401,4646533395,0.001070215814375656,9.09104828813025e-05,13,13,0,0.0
4646533395,3955454010,0.0025762605001824943,7.893298632403499e-05,18,18,0,0.0
3955454010,4646533436,0.00464074463168095,0.0001093759041844869,37,37,0,0.0
4646533436,5344150548,0.0018951177685864286,7.786279477593397e-05,74,74,0,0.0
5344150548,2022937139,0.00045935897291048106,6.978582835294965e-05,82,82,0,0.0
2022937139,5348062442,0.0002285346780455244,6.640245526505682e-05,72,72,0,0.0
5348062442,5833798065,0.0005287953357421461,6.373426116792096e-06,18,18,0,0.0
5833798065,2022937138,0.0005886540016757026,6.600663864520121e-06,19,19,0,0.0
2022937138,5346255522,0.0023278197982354596,7.462554063498131e-06,21,21,0,0.0
5346255522,5340984890,0.0007144910788972503,7.031608964009126e-06,22,22,0,0.0
5340984890,3966737340,0.0006696381245485375,6.373426116792096e-06,20,20,0,0.0
3966737340,4641964959,0.0013266182016610846,7.462554063498131e-06,23,23,0,0.0
4641964959,3960713568,0.0010887661748709646,6.373426116792096e-06,20,20,0,0.0
3960713568,5385296761,0.001105241708289614,6.1461883690640714e-06,19,19,0,0.0
5385296761,3960713576,0.0008226640330461429,6.117514401973167e-06,20,20,0,0.0
3960713576,5348056595,6.550154595457899e-06,6.088840434882262e-06,19,19,0,0.0
5348056595,4674272668,6.404268593941999e-05,6.117514401973167e-06,22,22,0,0.0
4674272668,4674272665,9.471837821673671e-06,6.117514401973167e-06,22,22,0,0.0
4674272665,3960713583,9.471837821673671e-06,6.117514401973167e-06,22,22,0,0.0
3960713583,4674264725,0.0006328883894397944,7.680549314901631e-06,28,28,0,0.0
4674264725,5340962524,0.0014560859709090727,1.0548214204711367e-05,36,36,0,0.0
5340962524,5347100980,0.0020802171199758874,1.1498683094861248e-05,38,38,0,0.0
5347100980,6729361886,0.001657436618945824,1.1498683094861248e-05,48,48,0,0.0
6729361886,6729361889,0.003949276993215731,1.3235679436529619e-05,48,48,0,0.0
6729361889,4644457984,3.64887459237753e-05,8.02980653336709e-06,15,15,0,0.0
4644457984,4644458100,3.82123309752778e-05,8.02980653336709e-06,15,15,0,0.0
4644458100,4644458105,4.026861914819995e-05,7.964175549836109e-06,6,6,0,0.0
4644458105,4644458104,7.384273383058605e-06,7.680549314901631e-06,4,4,0,0.0
4644458104,4644458109,0.0009907169673507822,7.89854456630513e-06,5,5,0,0.0
4644458109,3955635829,0.0010280710518013388,7.964175549836109e-06,6,6,0,0.0
3955635829,4553556558,0.000728267818710076,8.533773869916626e-06,10,10,0,0.0
4553556558,4632668449,0.000728267818710076,8.533773869916626e-06,10,10,0,0.0
4632668449,4553556560,0.0007885475801145298,8.02980653336709e-06,9,9,0,0.0
4553556560,4632668439,0.0006527584287607796,6.804750057770935e-05,13,13,0,0.0
4632668439,4632668437,0.00013686271482213838,7.89854456630513e-06,7,7,0,0.0
4632668437,4632668434,0.0011693874331268873,8.533773869916626e-06,10,10,0,0.0
4632668434,3955635841,0.0019549032361677035,0.0009194641229353513,13,13,0,0.0
3955635824,6147416347,0.001750748716372401,8.302805463460168e-05,56,56,0,0.0
6147416347,4650574860,0.001283081843591029,8.328110640939343e-05,53,53,0,0.0
4650574860,6147416349,0.001852148614012619,0.0001364574876682524,53,53,0,0.0
6147416349,6145432092,0.0022760004767840114,0.00023223037489217898,54,54,0,0.0
6145432092,4646435014,0.002220932940385755,0.0001683949709528894,57,57,0,0.0
4646435014,6147418739,0.0015913976241489411,8.087132573923758e-07,52,52,0,0.0
6147418739,358928055,0.0023548391842130832,8.1476870984799e-07,56,56,0,0.0
358928055,3582943818,0.0008290342585308216,7.035798867184387e-07,54,54,0,0.0
3582943818,6518850343,8.056696514985294e-05,5.072092046444838e-07,38,38,0,0.0
6518850343,5348933852,4.90469319960583e-07,4.859402540945559e-07,31,31,0,0.0
5348933852,6518850361,7.108764036202871e-05,4.909329110529773e-07,33,33,0,0.0
6518850361,6518850358,4.335056384905423e-05,4.884365825737666e-07,32,32,0,0.0
6518850358,6518850356,4.335056384905423e-05,4.884365825737666e-07,32,32,0,0.0
6518850356,6518850354,8.267236386369999e-05,4.909329110529773e-07,33,33,0,0.0
6518850354,3960713582,8.267236386369999e-05,4.909329110529773e-07,33,33,0,0.0
3960713582,6518850349,0.00015356970764851565,4.925937794547764e-07,34,34,0,0.0
6518850349,3582943815,0.00019930384189269072,4.986894908125739e-07,37,37,0,0.0
3582943815,414688718,0.001415083322067157,4.43773785541966e-05,68,68,0,0.0
414688718,13072263166,0.00120074062134182,0.00022983437220419384,106,106,0,0.0
13072263166,4682797792,0.0005160893282215375,0.00019411850810325182,67,67,0,0.0
4682797792,13072263158,0.0006652631936162727,6.95343129797328e-07,49,49,0,0.0
13072263158,2353641404,0.0014209185365544152,0.0001376085909778352,62,62,0,0.0
2353641404,4077508769,0.0038022018592493803,0.00014179002073236752,110,110,0,0.0
4077508769,9222956472,0.001254877701595906,0.00010057818589306266,85,85,0,0.0
9222956472,9352983457,0.0010669495670902632,0.00019411850810325182,45,45,0,0.0
9352983457,2089664699,0.0010669495670902632,0.00019411850810325182,45,45,0,0.0
2089664699,2090300450,0.002065724142473398,0.0002576103961322412,74,74,0,0.0
2090300450,2090302457,0.0024390807379224932,0.00026258191994937917,73,73,0,0.0
2090302457,9078697598,0.002472865183395521,0.00026592569127510245,72,72,0,0.0
9078697598,9078697595,0.002146858775208305,0.00026258191994937917,71,71,0,0.0
9078697595,2089653253,0.002203203627995986,0.00026258191994937917,69,69,0,0.0
2089653253,9366839617,0.0022977113725380655,0.00026592569127510245,66,66,0,0.0
9366839617,9366839620,0.001828428707901482,0.0002576103961322412,64,64,0,0.0
9366839620,437306438,0.0018661559346427273,0.00026926946260082574,63,63,0,0.0
